source_doc,raw_snippet,extracted_activity_desc,discipline,extracted_status,extracted_date,expected_matched_activity_id,expected_confidence_tier,notes
02_daily_progress_report_civil_piping.txt,"we finished tying the rebar mat by around 11am and shutter erection is about 80% done","Erect Rebar & Shutter - Foundation Grid A1-A4",Civil,In Progress,2026-07-18,CIV-2200-0030,High,Direct terminology overlap (rebar/shutter); percent complete 80 matches schedule field
02_daily_progress_report_civil_piping.txt,"Backfilling around the foundation has not started yet ... no work today on that","Backfill & Compaction - Foundation Grid A1-A4",Civil,Not Started,2026-07-18,CIV-2200-0050,High,Explicit activity name near-match
02_daily_progress_report_civil_piping.txt,"Piping team erected the rack section for the suction header line (the 24 inch line going to the suction of C-101 compressor) - completed erection of Section 3","Erect Line 24-PL-1004-CS1A (Suction Hdr) Rack Section 3",Piping,Complete,2026-07-18,PIP-3100-0120,Medium,Field description uses plain language (24 inch suction line) instead of line tag; requires semantic + attribute (C-101 suction) matching
02_daily_progress_report_civil_piping.txt,"welding crew mobilized ... only did fit-up and tacking, actual welding will start tomorrow","Weld Joints - Line 24-PL-1004-CS1A (Suction Hdr) Rack Sec 3",Piping,In Progress,2026-07-18,PIP-3100-0130,Medium,Fit-up/tacking is a sub-step of the weld activity; granularity mismatch vs plan
02_daily_progress_report_civil_piping.txt,"discharge side rack section 1 (10 inch line) - this one is already fully erected as reported earlier, no new activity today","Erect Line 10-PL-2051-CS2B (Discharge Hdr) Rack Section 1",Piping,Complete,2026-07-18,PIP-3100-0210,High,Restates prior completion; should not create duplicate progress event, flag as already-closed
02_daily_progress_report_civil_piping.txt,"Shutter erection ... slipped by about half a day because the plywood shuttering material delivery was late","Erect Rebar & Shutter - Foundation Grid A1-A4",Civil,Delayed,2026-07-18,CIV-2200-0030,High,Delay-cause extraction: material delivery delay; should populate delay_reason field
02_daily_progress_report_civil_piping.txt,"Toolbox talk conducted at 07:00 ... 2 permits issued","Toolbox Talk & Permit Issuance - Compressor Bldg Area",HSE,In Progress,2026-07-18,HSE-7700-0010,High,Recurring L6 HSE activity spanning full duration
03_piping_discipline_log.xlsx,"Spool fabrication complete | SP-1004-011 | Fab Yard | Done","Fabricate Spool - Line 24-PL-1004-CS1A (Suction Hdr)",Piping,Complete,2026-07-10,PIP-3100-0110,High,Line_No column matches schedule tag exactly
03_piping_discipline_log.xlsx,"Spool erected on rack - section closed | SP-1004-011..015 | Rack Sec 3 | Done","Erect Line 24-PL-1004-CS1A (Suction Hdr) Rack Section 3",Piping,Complete,2026-07-17,PIP-3100-0120,High,"Discipline term 'spool erected' maps to plan term 'Erect Line...'; classic terminology mismatch case for fuzzy matcher"
03_piping_discipline_log.xlsx,"Fit-up and tack weld | SP-1004-011 | Rack Sec 3 | In Progress | Root pass pending","Weld Joints - Line 24-PL-1004-CS1A (Suction Hdr) Rack Sec 3",Piping,In Progress,2026-07-18,PIP-3100-0130,Medium,Sub-activity (root pass) more granular than plan L6 node
03_piping_discipline_log.xlsx,"Spool erected on rack - section closed | SP-2051-004,005 | Rack Sec 1 | Done","Erect Line 10-PL-2051-CS2B (Discharge Hdr) Rack Section 1",Piping,Complete,2026-07-12,PIP-3100-0210,High,Direct line-tag match
03_piping_discipline_log.xlsx,"Line ready for hydro, awaiting NDT clearance | SP-1004-... | Not Started | Blinds to be installed","Hydrotest - Line 24-PL-1004-CS1A (Suction Hdr)",Piping,Not Started,2026-07-20,PIP-3100-0140,Medium,Pre-requisite condition (NDT clearance) noted but activity maps to hydrotest node
03_piping_discipline_log.xlsx,"New line identified - not in current schedule extract | SP-2051-021 | Rack Sec 2 (new tie-in) | client added tie-in scope 19-Jul","New Tie-in Line 10-PL-2051 Rack Sec 2 (unplanned scope)",Piping,Not Started,2026-07-21,UNMATCHED_NEW_ACTIVITY,None,"Deliberate unmatched case: no corresponding L5/L6 node exists; system must flag for planner review instead of silently dropping or force-matching"
